# NOAA Paleoclimatology Program - Paleocean Site Data
# odp658c-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Peter B. deMenocal
# Core/Site:      ODP658C
# Latitude:       20.45.00N	( 20.75)
# Longitude:      18.35.00W	( -18.58333)
# Water Depth(m): 2263
#
# Publications:
#   deMenocal, P.B., J. Ortiz, T. Guilderson, and M. Sarnthein. 2000. Coherent high-
#     and low-latitude climate variability during the Holocene Warm Period. Science
#     288(5474):2198-2202.
#------------------
#
# Description & Notes:
#   Holocene Variations in Subtropical Atlantic SST.
#   Data precision: SSTwarm= ±1.6°C, SSTcold=±1.3°C
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-aug.anom  Sea Surface Temperature (C, August)- anomaly
#             sst-feb       Sea Surface Temperature (C, February)
#             sst-feb.anom  Sea Surface Temperature (C, February)- anomaly
#
# CORE: ODP658C
depth	yrBP 	sst-aug	sst-aug.anom	sst-feb	sst-feb.anom	notes
1	88	25.8	0	16.8	0	
3	186	23.8	-2	15.6	-1.3	
5	284	22.4	-3.4	14.8	-2	
7	382	21.9	-3.9	13.7	-3.1	
9	480	26	0.2	16.2	-0.6	
11	515	24	-1.8	15.4	-1.4	
13	550	26.6	0.8	17.4	0.6	
15	585	24.5	-1.3	15.8	-1	
17	620	26.3	0.5	17	0.2	
19	656	25.4	-0.4	16.9	0.1	
21	693	26.3	0.5	17.3	0.5	
23	730	22.9	-2.9	15	-1.8	
25	766	22.2	-3.6	14.3	-2.5	
27	803	24.6	-1.2	15.9	-1	
29	840	25.3	-0.5	15.3	-1.5	
31	886	24.3	-1.5	15.8	-1.1	
33	933	25.3	-0.5	15.4	-1.4	
35	980	25.9	0.1	16.8	0	
37	1026	26.7	0.9	16.7	-0.1	
39	1073	26.2	0.4	17.4	0.6	
41	1120	27.1	1.3	16.8	0	
43	1166	25.5	-0.3	16.1	-0.7	
45	1213	26.3	0.5	16.6	-0.2	
47	1260	26.1	0.3	16.6	-0.2	
49	1306	26.4	0.6	17.2	0.3	
51	1353	25.9	0.1	16.6	-0.2	
53	1400	26.4	0.6	16.2	-0.6	
55	1515	25.6	-0.2	15.9	-0.9	
57	1630	26.4	0.6	17.2	0.4	
59	1745	23.6	-2.2	15.1	-1.7	
61	1860	24.3	-1.4	15.3	-1.5	
63	1975	23	-2.8	15.2	-1.6	
65	2090	25.3	-0.5	15.6	-1.2	
67	2270	25.2	-0.6	16.1	-0.7	
69	2451	25.4	-0.4	16.5	-0.3	
71	2632	25.7	-0.1	16.4	-0.4	
73	2813	24.9	-0.9	16.3	-0.6	
75	2994	23.2	-2.6	15.5	-1.3	
77	3175	24.9	-0.9	16.1	-0.7	
79	3355	24.1	-1.7	15.5	-1.3	
81	3536	25.8	0.1	16.5	-0.3	
83	3717	25.3	-0.5	16.2	-0.7	
85	3898	26.5	0.8	17	0.1	
87	4079	26.6	0.8	17.1	0.3	
89	4260	26.6	0.9	17	0.2	
91	4321	25.4	-0.4	16.5	-0.3	
93	4383	26.9	1.1	16	-0.8	
95	4445	25.1	-0.7	16.7	-0.1	
97	4507	25.8	0	16.3	-0.5	
99	4568	24.8	-1	15.9	-0.9	
101	4630	24.1	-1.7	16.3	-0.5	
103	4692	25	-0.8	16.4	-0.4	
105	4754	25.5	-0.3	16.4	-0.4	
109	4877	25.1	-0.7	16.7	-0.1	
111	4939	25.2	-0.6	16.4	-0.4	
113	5001	25.8	0	17	0.2	
115	5062	25.3	-0.5	16.7	-0.2	
117	5124	25.5	-0.3	17.1	0.3	
119	5186	25.5	-0.3	16.3	-0.5	
121	5248	24.5	-1.3	16.1	-0.7	
123	5310	23.6	-2.1	16.1	-0.8	
125	5434	25	-0.8	17.2	0.4	
127	5559	23.6	-2.2	16	-0.9	
129	5683	23.6	-2.2	16	-0.9	
131	5808	21.2	-4.6	14.5	-2.3	
135	6057	21.3	-4.5	14.5	-2.3	
137	6182	21.1	-4.7	14.3	-2.5	
139	6306	20.5	-5.2	13.9	-2.9	
141	6431	22.1	-3.7	15.3	-1.5	
143	6555	21.4	-4.4	14.6	-2.2	
145	6680	21.9	-3.9	15.3	-1.5	
147	6804	21.5	-4.3	15.1	-1.7	
149	6929	21.8	-4	14.8	-2	
151	7054	20.1	-5.7	14	-2.8	
154	7240	21	-4.8	14.6	-2.2	
156	7365	20.1	-5.7	13.8	-3.1	
158	7490	20.7	-5.1	14.4	-2.4	
